#	type1	type2	LJ	eps	sigma	cutoff	ref
pair	ABB	ABB	9_6	1.2	4.74	15	2
pair	CAT	CAM	9_6	0.2683	4.62	15	6
pair	CAT	CAT	9_6	0.36	4.44	15	6
pair	CAT	CM3	9_6	0.3957	4.47	15	6
pair	CAT	CT2	9_6	0.3297	4.335	15	6
pair	CAT	CT3	9_6	0.4109	4.51	15	6
pair	CAT	CT4	9_6	0.4855	4.576	15	6
pair	CAT	CTY	9_6	0.359	4.659	15	6
pair	CAX	CAM	9_6	0.3169	4.768	15	6
pair	CAX	CAT	9_6	0.4251	4.588	15	6
pair	CAX	CAX	9_6	0.502	4.735	15	6
pair	CAX	CT2	9_6	0.3894	4.483	15	6
pair	CAX	CT3	9_6	0.52	4.57	15	6
pair	CAX	CT4	9_6	0.64	4.73	15	6
pair	CAX	CTY	9_6	0.424	4.807	15	6
pair	CH	CH	9_6	0.7	5.75	15	DB
pair	CH	CM	9_6	0.4	5.128	15	DB
pair	CH	CMD2	9_6	0.35	4.8775	15	DB
pair	CH	CT	9_6	0.42	5.1675	15	DB
pair	CH	CT2	9_6	0.32	4.9855	15	DB
pair	CH	PH	9_6	1.15	4.2	15	DB
pair	CH	W	12_4	0.9	4.61	15	DB
pair	CLA	CLA	12_4	0.35	4.371	15	6
pair	CLA	W	12_4	0.895	4.371	15	6
pair	CM	CM	9_6	0.42	4.506	15	1
pair	CM	CM	9_6	0.42	4.506	15	1
pair	CM	EOH	9_6	0.42	4.17	15	DB
pair	CM	OA	9_6	0.365	3.987	15	1
pair	CM2	ANI	9_6	0.43	4.24	15	7
pair	CM2	BEN	9_6	0.24	4.09	15	7
pair	CM2	CM	9_6	0.3	4.39	15	7
pair	CM2	CM2	9_6	0.22	4.27	15	7
pair	CM2	CT2	9_6	0.26	4.25	15	7
pair	CM2	OA	9_6	0.31	3.99	15	7
pair	CM2	W	9_6	0.29	4.296	15	7
pair	CM3	CM3	9_6	0.435	4.5	15	6
pair	CM3	CT3	9_6	0.4517	4.54	15	6
pair	CM4	CM3	9_6	0.4374	4.81	15	6
pair	CM4	CM4	9_6	0.44	5.12	15	6
pair	CM4	CT2	9_6	0.3645	4.675	15	6
pair	CM4	CT3	9_6	0.4543	4.85	15	6
pair	CM4	CTB	9_6	0.3645	4.675	15	6
pair	CM4	CTC	9_6	0.4543	4.85	15	6
pair	CMD2	CM	9_6	0.312	4.2555	15	4
pair	CMD2	CMD2	9_6	0.232	4.005	15	4
pair	CMD2	CMD2	9_6	0.232	4.005	15	4
pair	CMD2	CT	9_6	0.33	4.295	15	4
pair	CMD2	CT2	9_6	0.269	4.113	15	4
pair	CMD2	EST1	9_6	0.44	4.005	15	4
pair	CMD2	EST2	9_6	0.44	4.005	15	4
pair	CMD2	GL	9_6	0.312	4.2555	15	4
pair	CMD2	W	12_4	0.27	4.188	15	4
pair	CME	CM	9_6	0.42	4.506	15	DB
pair	CME	CME	9_6	0.42	4.506	15	DB
pair	CMT	CM3	9_6	0.3363	4.64	15	6
pair	CMT	CMT	9_6	0.26	4.78	15	6
pair	CMT	CT2	9_6	0.2802	4.505	15	6
pair	CMT	CT3	9_6	0.3492	4.68	15	6
pair	CMT	CT4	9_6	0.42	4.8	15	6
pair	CMT	CTB	9_6	0.2802	4.505	15	6
pair	CMT	CTC	9_6	0.3492	4.68	15	6
pair	CMT	CTY	9_6	0.312	4.878	15	6
pair	CMY	CM3	9_6	0.3552	4.68	15	6
pair	CMY	CMY	9_6	0.29	4.86	15	6
pair	CMY	CT2	9_6	0.2959	4.545	15	6
pair	CMY	CT3	9_6	0.3688	4.72	15	6
pair	CMY	CTB	9_6	0.2959	4.545	15	6
pair	CMY	CTC	9_6	0.3688	4.72	15	6
pair	CT	CM	9_6	0.444	4.5455	15	1
pair	CT	CME	9_6	0.444	4.5455	15	DB
pair	CT	CT	9_6	0.469	4.585	15	1
pair	CT	CT	9_6	0.469	4.585	15	1
pair	CT	CTE	9_6	0.469	4.585	15	DB
pair	CT	EOH	9_6	0.555	4.324	15	DB
pair	CT	OA	9_6	0.4372	4.033	15	1
pair	CT2	CM	9_6	0.362	4.3635	15	1
pair	CT2	CM3	9_6	0.3624	4.365	15	6
pair	CT2	CT	9_6	0.383	4.403	15	DB
pair	CT2	CT2	9_6	0.312	4.221	15	1
pair	CT2	CT2	9_6	0.312	4.221	15	1
pair	CT2	CT2	9_6	0.302	4.23	15	6
pair	CT2	CT3	9_6	0.3763	4.405	15	6
pair	CT2	CTB	9_6	0.302	4.23	15	6
pair	CT2	CTC	9_6	0.3763	4.405	15	6
pair	CT2	CTE	9_6	0.383	4.403	15	DB
pair	CT2	OA	9_6	0.38	3.84	15	1
pair	CT3	CT3	9_6	0.469	4.58	15	6
pair	CT3	CTC	9_6	0.469	4.58	15	6
pair	CT4	CM3	9_6	0.5227	4.686	15	6
pair	CT4	CT2	9_6	0.4355	4.551	15	6
pair	CT4	CT3	9_6	0.5427	4.726	15	6
pair	CT4	CT4	9_6	0.628	4.872	15	6
pair	CT4	CTB	9_6	0.4355	4.551	15	6
pair	CT4	CTC	9_6	0.5427	4.726	15	6
pair	CTB	CT3	9_6	0.3763	4.405	15	6
pair	CTB	CTB	9_6	0.302	4.23	15	6
pair	CTB	CTC	9_6	0.3763	4.405	15	6
pair	CTC	CTC	9_6	0.469	4.58	15	6
pair	CTE	CM	9_6	0.444	4.5455	15	DB
pair	CTE	CTE	9_6	0.469	4.585	15	DB
pair	CTY	CM3	9_6	0.4046	4.689	15	6
pair	CTY	CT2	9_6	0.3288	4.554	15	6
pair	CTY	CT3	9_6	0.42	4.729	15	6
pair	CTY	CT4	9_6	0.515	4.86	15	6
pair	CTY	CTY	9_6	0.358	4.878	15	6
pair	CYD	CYD	9_6	0.656	2.4	15	2
pair	CYS	CYS	9_6	0.656	4.16	15	2
pair	EO	CM	9_6	0.377	4.274	15	1
pair	EO	CT	9_6	0.41	4.34	15	1
pair	EO	CT2	9_6	0.377	4.14	15	1
pair	EO	EO	9_6	0.405	4.25	15	1
pair	EO	EO	9_6	0.405	4.25	15	1
pair	EO	EOT	9_6	0.42	4.25	15	1
pair	EO	OA	9_6	0.44	3.89	15	1
pair	EOC	CM	9_6	0.377	4.274	15	DB
pair	EOC	CT2	9_6	0.37	4.14	15	DB
pair	EOC	EO	9_6	0.405	4.25	15	DB
pair	EOC	EOC	9_6	0.405	4.25	15	DB
pair	EOC	OA	9_6	0.44	3.89	15	DB
pair	EOC	W	12_4	0.57	4.31	15	DB
pair	EOH	EOH	9_6	0.595	4.083	15	DB
pair	EOT	EOT	9_6	0.437	4.25	15	1
pair	EOT	EOT	9_6	0.437	4.25	15	1
pair	EST	ANI	9_6	0.6	4.15	15	7
pair	EST	BEN	9_6	0.33	4	15	7
pair	EST	CM	9_6	0.42	4.3	15	7
pair	EST	CM2	9_6	0.3	4.19	15	7
pair	EST	CME	9_6	0.47	4.403	15	DB
pair	EST	CT	9_6	0.47	4.4425	15	DB
pair	EST	CT2	9_6	0.36	4.16	15	7
pair	EST	CTE	9_6	0.47	4.4425	15	DB
pair	EST	EST	9_6	0.43	4.1	15	7
pair	EST	OA	9_6	0.44	3.91	15	7
pair	EST	W	9_6	0.894	4.24	15	7
pair	EST1	CH	9_6	0.75	4.475	15	DB
pair	EST1	CM	9_6	0.47	4.403	15	4
pair	EST1	CT	9_6	0.47	4.4425	15	4
pair	EST1	CT2	9_6	0.39	4.2605	15	4
pair	EST1	EST1	9_6	0.495	4.3	15	4
pair	EST1	EST1	9_6	0.495	4.3	15	4
pair	EST1	EST2	9_6	0.495	4.3	15	4
pair	EST1	NC	9_6	0.75	4.475	15	4
pair	EST1	PH	9_6	0.5	4.55	15	4
pair	EST1	W	12_4	0.82	4.29	15	4
pair	EST2	CH	9_6	0.75	4.475	15	DB
pair	EST2	CM	9_6	0.47	4.403	15	4
pair	EST2	CT	9_6	0.47	4.4425	15	4
pair	EST2	CT2	9_6	0.39	4.2605	15	4
pair	EST2	EST2	9_6	0.495	4.3	15	4
pair	EST2	EST2	9_6	0.495	4.3	15	4
pair	EST2	NC	9_6	0.75	4.475	15	4
pair	EST2	PH	9_6	0.5	4.55	15	4
pair	EST2	W	12_4	0.82	4.29	15	4
pair	GBB	GBB	9_6	0.87	4.15	15	2
pair	GL	CH	9_6	0.65	4.62	15	DB
pair	GL	CM	9_6	0.42	4.506	15	4
pair	GL	CT	9_6	0.444	4.5455	15	4
pair	GL	CT2	9_6	0.362	4.365	15	4
pair	GL	EST1	9_6	0.47	4.403	15	4
pair	GL	EST2	9_6	0.47	4.403	15	4
pair	GL	GL	9_6	0.42	4.506	15	4
pair	GL	GL	9_6	0.42	4.506	15	4
pair	GL	NC	9_6	0.65	4.62	15	4
pair	GL	PH	9_6	0.3	4.75	15	4
pair	GL	W	12_4	0.64	4.4385	15	4
pair	GLN	GLN	9_6	1.192	4.74	15	2
pair	GLU	GLU	9_6	0.497	4	15	2
pair	HIS	HIS	9_6	1.4	5.4	15	2
pair	ILE	ILE	9_6	0.487	5.18	15	2
pair	LEU	LEU	9_6	0.536	5.06	15	2
pair	LYS1	LYS1	9_6	0.469	4.59	15	2
pair	LYS2	LYS2	9_6	0.497	4	15	2
pair	MET	MET	9_6	0.835	5.03	15	2
pair	MOH	MOH	9_6	0.58	3.68	15	DB
pair	NC	CM	9_6	0.4	5.128	15	4
pair	NC	CMD2	9_6	0.35	4.8775	15	4
pair	NC	CT	9_6	0.42	5.1675	15	4
pair	NC	CT2	9_6	0.32	4.9855	15	4
pair	NC	NC	9_6	0.7	5.75	15	4
pair	NC	NC	9_6	0.7	5.75	15	4
pair	NC	NH	9_6	0.88	5.175	15	4
pair	NC	PH	9_6	1.15	4.2	15	4
pair	NC	PHE	9_6	1.15	4.2	15	4
pair	NC	W	12_4	0.9	4.61	15	4
pair	NC4	CLA	12_4	0.95	4.43	15	DB
pair	NC4	CM	9_6	0.42	4.76	15	DB
pair	NC4	CT2	9_6	0.38	4.66	15	DB
pair	NC4	NC4	9_6	0.5	5.95	15	DB
pair	NC4	W	12_4	0.95	4.43	15	DB
pair	NEP	ANI	9_6	0.77	4.78	15	7
pair	NEP	BEN	9_6	0.42	4.63	15	7
pair	NEP	CM	9_6	0.54	4.93	15	7
pair	NEP	CM2	9_6	0.39	4.81	15	7
pair	NEP	CT2	9_6	0.47	4.79	15	7
pair	NEP	EST	9_6	0.54	4.73	15	7
pair	NEP	NEP	9_6	0.69	5.35	15	7
pair	NEP	OA	9_6	0.55	4.53	15	7
pair	NEP	W	9_6	0.678	4.86	15	7
pair	NH	CM	9_6	0.33	4.553	15	4
pair	NH	CMD2	9_6	0.3	4.3025	15	4
pair	NH	CT	9_6	0.34	4.925	15	4
pair	NH	CT2	9_6	0.32	4.4105	15	4
pair	NH	EST1	9_6	0.85	4.11	15	4
pair	NH	EST2	9_6	0.85	4.11	15	4
pair	NH	GL	9_6	0.75	4.19	15	4
pair	NH	NH	9_6	1.1	4.6	15	4
pair	NH	NH	9_6	1.1	4.6	15	4
pair	NH	PH	9_6	1.2	3.8	15	4
pair	NH	PHE	9_6	1.2	3.8	15	4
pair	NH	W	12_4	0.8	3.95	15	4
pair	OA	ANI	9_6	0.62	3.96	15	7
pair	OA	BEN	9_6	0.34	3.81	15	7
pair	OA	OA	9_6	0.4491	3.713	15	1
pair	OA	OA	9_6	0.4491	3.713	15	1
pair	PH	CM	9_6	0.3	4.953	15	4
pair	PH	CMD2	9_6	0.3	4.7025	15	4
pair	PH	CT	9_6	0.32	4.9925	15	4
pair	PH	CT2	9_6	0.28	4.8105	15	4
pair	PH	PH	9_6	1.4	5.4	15	4
pair	PH	PH	9_6	1.4	5.4	15	4
pair	PH	PHE	9_6	1.4	5	15	4
pair	PH	W	12_4	1	4.03	15	4
pair	PH1	PH1	9_6	0.435	4.91	15	2
pair	PH2	PH2	9_6	0.413	4.33	15	2
pair	PHE	CM	9_6	0.3	4.953	15	4
pair	PHE	CMD2	9_6	0.3	4.7025	15	4
pair	PHE	CT	9_6	0.32	4.9925	15	4
pair	PHE	CT2	9_6	0.28	4.8105	15	4
pair	PHE	EST1	9_6	0.5	4.55	15	4
pair	PHE	EST2	9_6	0.5	4.55	15	4
pair	PHE	GL	9_6	0.3	4.75	15	4
pair	PHE	PHE	9_6	1.4	4.6	15	4
pair	PHE	PHE	9_6	1.4	4.6	15	4
pair	PHE	W	12_4	1	4.03	15	4
pair	PHR	CM	9_6	??	??	15	
pair	PHR	CT	9_6	0.2	4.043	15	3
pair	PHR	CT2	9_6	??	??	15	
pair	PHR	PHR	9_6	0.55	3.5	15	3
pair	PHR	PHR	9_6	0.55	3.5	15	3
pair	PHR	W	9_6	0.68	3.935	15	3
pair	PHR	XYR	9_6	0.4195	3.75	15	3
pair	PRO	PRO	9_6	0.469	5.59	15	2
pair	SER	SER	9_6	0.58	3.68	15	2
pair	SO3	CAM	9_6	0.1264	4.9	15	6
pair	SO3	CAX	9_6	0.2	4.865	15	6
pair	SO3	CM3	9_6	0.1865	4.75	15	6
pair	SO3	CM4	9_6	0.1876	5.06	15	6
pair	SO3	CMT	9_6	0.1442	4.89	15	6
pair	SO3	CMY	9_6	0.1523	4.93	15	6
pair	SO3	CT2	9_6	0.1554	4.615	15	6
pair	SO3	CT3	9_6	0.1937	4.79	15	6
pair	SO3	CT4	9_6	0.2241	4.936	15	6
pair	SO3	CTY	9_6	0.1692	4.939	15	6
pair	SO3	SO3	9_6	0.5	5	15	6
pair	SO3	SOD	12_4	0.7	4	15	6
pair	SO3	W	12_4	1.1	4.1	15	6
pair	SOD	CAM	12_4	0.33	4.586	15	6
pair	SOD	CAX	12_4	0.445	4.551	15	6
pair	SOD	CLA	12_4	0.895	4.371	15	6
pair	SOD	CM3	12_4	0.36	4.436	15	6
pair	SOD	CM4	12_4	0.37	4.746	15	6
pair	SOD	CMT	12_4	0.286	4.576	15	6
pair	SOD	CMY	12_4	0.296	4.616	15	6
pair	SOD	CT2	12_4	0.283	4.3	15	6
pair	SOD	CT3	12_4	0.364	4.476	15	6
pair	SOD	CT4	12_4	0.433	4.622	15	6
pair	SOD	CTY	12_4	0.334	4.624	15	6
pair	SOD	SOD	12_4	0.35	4.371	15	6
pair	SOD	W	12_4	0.895	4.371	15	6
pair	THR	THR	9_6	0.666	4.24	15	2
pair	TR1	TR1	9_6	0.473	4.41	15	2
pair	TR2	TR2	9_6	0.413	4.33	15	2
pair	TR3	TR3	9_6	0.753	4.66	15	2
pair	TYR1	TYR1	9_6	0.435	4.91	15	2
pair	TYR2	TYR2	9_6	0.7	4.1	15	2
pair	VAL	VAL	9_6	0.469	4.59	15	2
pair	W	CAM	12_4	0.33	4.586	15	6
pair	W	CAT	12_4	0.37	4.406	15	6
pair	W	CAX	12_4	0.445	4.553	15	6
pair	W	CM	12_4	0.34	4.4385	15	1
pair	W	CM3	12_4	0.36	4.436	15	6
pair	W	CM4	12_4	0.37	4.746	15	6
pair	W	CMT	12_4	0.286	4.576	15	6
pair	W	CMY	12_4	0.296	4.616	15	6
pair	W	CT	12_4	0.36	4.478	15	1
pair	W	CT2	12_4	0.29	4.296	15	1
pair	W	CT2	12_4	0.283	4.3	15	6
pair	W	CT3	12_4	0.364	4.476	15	6
pair	W	CT4	12_4	0.433	4.622	15	6
pair	W	CTB	12_4	0.283	4.3	15	6
pair	W	CTC	12_4	0.364	4.476	15	6
pair	W	CTY	12_4	0.334	4.624	15	6
pair	W	EO	12_4	0.57	4.31	15	1
pair	W	OA	12_4	0.7	3.95	15	1
pair	W	W	12_4	0.895	4.371	15	1
pair	W	W	12_4	0.895	4.371	15	1
pair	W	W	12_4	0.895	4.371	15	6
#pair	XYR	CM	9_6	??	??	15	
pair	XYR	CT	9_6	0.54	4.293	15	3
#pair	XYR	CT2	9_6	??	??	15	
pair	XYR	W	9_6	0.48	4.185	15	3
pair	XYR	XYR	9_6	0.32	4	15	3
pair	XYR	XYR	9_6	0.32	4	15	3
